timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1747951928521,30,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,30,0,22
1747951928536,15,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,15,0,7
1747951928553,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,2,0,0
1747951928555,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,2,0,0
1747951928556,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928557,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928558,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,2,0,0
1747951928559,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,2,0,0
1747951928561,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928562,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928563,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928564,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928566,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928566,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928568,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928569,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928569,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,2,0,0
1747951928571,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,1,0,0
1747951928572,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-2,text,true,,1023,288,2,2,http://localhost:3000/pacientes,2,0,0
1747951928572,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-1,text,true,,1023,288,2,2,http://localhost:3000/pacientes,2,0,0
1747951928636,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,0
1747951928639,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,0
1747951928641,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928643,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928645,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,0
1747951928647,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928649,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928651,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928653,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928654,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-3,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,0
1747951928736,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,1
1747951928739,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928741,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928743,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928745,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928747,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928749,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,0
1747951928751,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928753,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928755,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-4,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928834,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-5,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,1
1747951928837,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-5,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928839,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-5,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,0
1747951928842,1,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-5,text,true,,1023,288,1,1,http://localhost:3000/pacientes,1,0,0
1747951928843,2,HTTP Request (Cadastro de Paciente),201,Created,Simulação de 1000 usuários 1-5,text,true,,1023,288,1,1,http://localhost:3000/pacientes,2,0,0
